direction,time
c,2
e,2
e,2
e,2
c,2
c,1
d,2
c,1
s,1
d,1
d,1
d,2
c,2
s,2
c,1
c,2
s,1
c,2
d,1
c,2
s,1
d,2
d,2
d,1
d,1
d,1
c,2
s,1
c,1
c,1
