Game #,Genetic Algorithms,Simulated Annealing,Tree Search
0,0.0,0.0,0.0
1,1.0,1.0,1.0
2,1.0,1.0,1.0
3,,0.0,
4,1.0,1.0,1.0
5,1.0,1.0,1.0
6,1.0,0.0,1.0
7,,,0.0
8,,,0.0
9,,,
10,6.0,5.0,3.0
11,6.0,6.0,5.0
12,6.0,6.0,5.0
13,6.0,6.0,4.0
14,,6.0,3.0
15,6.0,3.0,4.0
16,6.0,6.0,4.0
17,5.0,6.0,3.0
18,,4.0,1.0
19,,6.0,3.0
20,1.0,0.0,0.0
21,,3.0,0.0
22,4.0,7.0,2.0
23,5.0,5.0,4.0
24,,1.0,1.0
